hour,month,average_power_for_condo,min_power_for_condo,max_power_for_condo,power
12,6,127.676,79.626,172.452,114.15
13,6,127.676,79.626,172.452,113.435
14,6,127.676,79.626,172.452,112.84
15,6,127.676,79.626,172.452,113.34
16,6,127.676,79.626,172.452,115.22
17,6,127.676,79.626,172.452,117.21
18,6,127.676,79.626,172.452,118.805
19,6,127.676,79.626,172.452,117.8
20,6,127.676,79.626,172.452,116.68
21,6,127.676,79.626,172.452,114.265
22,6,127.676,79.626,172.452,105.76
23,6,127.676,79.626,172.452,95.67
0,7,127.676,79.626,172.452,118.29
1,7,127.676,79.626,172.452,114.99
2,7,127.676,79.626,172.452,112.78
3,7,127.676,79.626,172.452,110.71
4,7,127.676,79.626,172.452,111.1
5,7,127.676,79.626,172.452,112.82
6,7,127.676,79.626,172.452,117.94
7,7,127.676,79.626,172.452,127.62
8,7,127.676,79.626,172.452,136.37
9,7,127.676,79.626,172.452,142.18
10,7,127.676,79.626,172.452,146.23
11,7,127.676,79.626,172.452,148.86
12,7,127.676,79.626,172.452,151.18
13,7,127.676,79.626,172.452,150.721
14,7,127.676,79.626,172.452,150.024
15,7,127.676,79.626,172.452,151.82
16,7,127.676,79.626,172.452,152.98
17,7,127.676,79.626,172.452,156.62
18,7,127.676,79.626,172.452,155.04
19,7,127.676,79.626,172.452,153.57
20,7,127.676,79.626,172.452,152.54
21,7,127.676,79.626,172.452,148.64
22,7,127.676,79.626,172.452,138.98
23,7,127.676,79.626,172.452,127.49
0,8,127.676,79.626,172.452,117.14
1,8,127.676,79.626,172.452,113.02
2,8,127.676,79.626,172.452,111.38
3,8,127.676,79.626,172.452,110.27
4,8,127.676,79.626,172.452,125.01
5,8,127.676,79.626,172.452,130.55
6,8,127.676,79.626,172.452,136.61
7,8,127.676,79.626,172.452,146.13
8,8,127.676,79.626,172.452,157.01
9,8,127.676,79.626,172.452,163.74
10,8,127.676,79.626,172.452,166.65
11,8,127.676,79.626,172.452,168.99
12,8,127.676,79.626,172.452,169.89
13,8,127.676,79.626,172.452,162.11
14,8,127.676,79.626,172.452,156.24
15,8,127.676,79.626,172.452,154.42
16,8,127.676,79.626,172.452,164.57
17,8,127.676,79.626,172.452,154.73
18,8,127.676,79.626,172.452,154.84
19,8,127.676,79.626,172.452,148.95
20,8,127.676,79.626,172.452,148.074
21,8,127.676,79.626,172.452,145.88
22,8,127.676,79.626,172.452,135.94
23,8,127.676,79.626,172.452,125.44
0,9,127.676,79.626,172.452,101.5
1,9,127.676,79.626,172.452,99.27
2,9,127.676,79.626,172.452,98.745
3,9,127.676,79.626,172.452,99.45
4,9,127.676,79.626,172.452,123.925
5,9,127.676,79.626,172.452,131.275
6,9,127.676,79.626,172.452,143.07
7,9,127.676,79.626,172.452,150.41
8,9,127.676,79.626,172.452,152.86
9,9,127.676,79.626,172.452,158.62
10,9,127.676,79.626,172.452,165.335
11,9,127.676,79.626,172.452,169.09
12,9,127.676,79.626,172.452,167.835
13,9,127.676,79.626,172.452,161.04
14,9,127.676,79.626,172.452,155.57
15,9,127.676,79.626,172.452,151.8
16,9,127.676,79.626,172.452,150.03
17,9,127.676,79.626,172.452,148.67
18,9,127.676,79.626,172.452,145.215
19,9,127.676,79.626,172.452,138.79
20,9,127.676,79.626,172.452,132.525
21,9,127.676,79.626,172.452,126.675
22,9,127.676,79.626,172.452,117.49
23,9,127.676,79.626,172.452,107.98
0,10,127.676,79.626,172.452,92.77
1,10,127.676,79.626,172.452,90.08
2,10,127.676,79.626,172.452,88.38
3,10,127.676,79.626,172.452,89.77
4,10,127.676,79.626,172.452,120.54
5,10,127.676,79.626,172.452,125.61
6,10,127.676,79.626,172.452,133.09
7,10,127.676,79.626,172.452,138.32
8,10,127.676,79.626,172.452,140.492
9,10,127.676,79.626,172.452,142.95
10,10,127.676,79.626,172.452,147.3
11,10,127.676,79.626,172.452,146.86
12,10,127.676,79.626,172.452,144.88
13,10,127.676,79.626,172.452,140.947
14,10,127.676,79.626,172.452,135.74
15,10,127.676,79.626,172.452,129.4
16,10,127.676,79.626,172.452,128.86
17,10,127.676,79.626,172.452,129.934
18,10,127.676,79.626,172.452,133.263
19,10,127.676,79.626,172.452,125.908
20,10,127.676,79.626,172.452,120.79
21,10,127.676,79.626,172.452,116.6
22,10,127.676,79.626,172.452,108.89
23,10,127.676,79.626,172.452,99.88
0,11,127.676,79.626,172.452,119.39
1,11,127.676,79.626,172.452,114.75
2,11,127.676,79.626,172.452,112.29
3,11,127.676,79.626,172.452,111.53
