hour,month,average_power_summer,average_power_winter,average_power_spring,average_power_fall,power
14,7,1.09316,1.00523,0.7878,1.1139,1.175036812
15,7,1.09316,1.00523,0.7878,1.1139,1.189103669
16,7,1.09316,1.00523,0.7878,1.1139,1.198189166
17,7,1.09316,1.00523,0.7878,1.1139,1.226698831
18,7,1.09316,1.00523,0.7878,1.1139,1.214323757
19,7,1.09316,1.00523,0.7878,1.1139,1.202810238
20,7,1.09316,1.00523,0.7878,1.1139,1.194742943
21,7,1.09316,1.00523,0.7878,1.1139,1.164196873
22,7,1.09316,1.00523,0.7878,1.1139,1.088536608
23,7,1.09316,1.00523,0.7878,1.1139,0.998543187
0,8,1.09316,1.00523,0.7878,1.1139,0.917478618
1,8,1.09316,1.00523,0.7878,1.1139,0.885209436
2,8,1.09316,1.00523,0.7878,1.1139,0.872364422
3,8,1.09316,1.00523,0.7878,1.1139,0.863670541
4,8,1.09316,1.00523,0.7878,1.1139,0.97911902
5,8,1.09316,1.00523,0.7878,1.1139,1.022510104
6,8,1.09316,1.00523,0.7878,1.1139,1.069973997
7,8,1.09316,1.00523,0.7878,1.1139,1.144537736
8,8,1.09316,1.00523,0.7878,1.1139,1.229753438
9,8,1.09316,1.00523,0.7878,1.1139,1.28246499
10,8,1.09316,1.00523,0.7878,1.1139,1.305257057
11,8,1.09316,1.00523,0.7878,1.1139,1.323584699
12,8,1.09316,1.00523,0.7878,1.1139,1.330633792
